Date,Stocks,Anomalies,Anomaly_Breadth,Negative_Anomalies,Positive_Anomalies
2016-01-01,47,0,0.0,0,0
2016-01-04,47,0,0.0,0,0
2016-01-05,47,0,0.0,0,0
2016-01-06,47,0,0.0,0,0
2016-01-07,47,0,0.0,0,0
2016-01-08,47,0,0.0,0,0
2016-01-11,47,0,0.0,0,0
2016-01-12,47,0,0.0,0,0
2016-01-13,47,0,0.0,0,0
2016-01-14,47,0,0.0,0,0
2016-01-15,47,0,0.0,0,0
2016-01-18,47,0,0.0,0,0
2016-01-19,47,0,0.0,0,0
2016-01-20,47,0,0.0,0,0
2016-01-21,47,0,0.0,0,0
2016-01-22,47,0,0.0,0,0
2016-01-25,47,0,0.0,0,0
2016-01-27,47,0,0.0,0,0
2016-01-28,47,0,0.0,0,0
2016-01-29,47,0,0.0,0,0
2016-02-01,47,0,0.0,0,0
2016-02-02,47,0,0.0,0,0
2016-02-03,47,1,0.02127659574468085,0,1
2016-02-04,47,0,0.0,0,0
2016-02-05,47,0,0.0,0,0
2016-02-08,47,0,0.0,0,0
2016-02-09,47,0,0.0,0,0
2016-02-10,47,0,0.0,0,0
2016-02-11,47,0,0.0,0,0
2016-02-12,47,0,0.0,0,0
2016-02-15,47,1,0.02127659574468085,0,1
2016-02-16,47,0,0.0,0,0
2016-02-17,47,0,0.0,0,0
2016-02-18,47,0,0.0,0,0
2016-02-19,47,0,0.0,0,0
2016-02-22,47,0,0.0,0,0
2016-02-23,47,0,0.0,0,0
2016-02-24,47,0,0.0,0,0
2016-02-25,47,0,0.0,0,0
2016-02-26,47,0,0.0,0,0
2016-02-29,47,1,0.02127659574468085,1,0
2016-03-01,47,1,0.02127659574468085,0,1
2016-03-02,47,0,0.0,0,0
2016-03-03,47,0,0.0,0,0
2016-03-04,47,0,0.0,0,0
2016-03-08,47,0,0.0,0,0
2016-03-09,47,0,0.0,0,0
2016-03-10,47,0,0.0,0,0
2016-03-11,47,0,0.0,0,0
2016-03-14,47,0,0.0,0,0
2016-03-15,47,0,0.0,0,0
2016-03-16,47,0,0.0,0,0
2016-03-17,47,0,0.0,0,0
2016-03-18,47,0,0.0,0,0
2016-03-21,47,0,0.0,0,0
2016-03-22,47,0,0.0,0,0
2016-03-23,47,0,0.0,0,0
2016-03-28,47,0,0.0,0,0
2016-03-29,47,0,0.0,0,0
2016-03-30,47,0,0.0,0,0
2016-03-31,47,0,0.0,0,0
2016-04-01,47,0,0.0,0,0
2016-04-04,47,0,0.0,0,0
2016-04-05,47,0,0.0,0,0
2016-04-06,47,0,0.0,0,0
2016-04-07,47,0,0.0,0,0
2016-04-08,47,0,0.0,0,0
2016-04-11,47,0,0.0,0,0
2016-04-12,47,0,0.0,0,0
2016-04-13,47,0,0.0,0,0
2016-04-18,47,0,0.0,0,0
2016-04-20,47,0,0.0,0,0
2016-04-21,47,0,0.0,0,0
2016-04-22,47,0,0.0,0,0
2016-04-25,47,0,0.0,0,0
2016-04-26,47,0,0.0,0,0
2016-04-27,47,0,0.0,0,0
2016-04-28,47,0,0.0,0,0
2016-04-29,47,0,0.0,0,0
